net,length_um
net17,4.82µm
_096_,4.775µm
_227_,4.76µm
_135_,4.725µm
bram.mem\[0\]\[4\],4.66µm
_095_,4.635µm
_118_,4.625µm
_126_,4.625µm
empty,4.61µm
u_rptr_handler.g_rptr_next\[2\],4.605µm
_143_,4.6µm
_178_,4.6µm
_139_,4.57µm
bram.mem\[11\]\[1\],4.46µm
_013_,4.385µm
_127_,4.385µm
sync_gwptr_to_rd.q2\[4\],4.34µm
net14,4.34µm
net21,4.34µm
_039_,4.295µm
rdata[5],4.27µm
_225_,4.24µm
_148_,4.2µm
_077_,4.165µm
_103_,4.165µm
_129_,4.165µm
sync_gwptr_to_rd.q1\[3\],4.12µm
_064_,3.975µm
rdata[0],3.93µm
_055_,3.925µm
_074_,3.925µm
_087_,3.925µm
_099_,3.925µm
u_rptr_handler.b_rptr_next\[0\],3.88µm
net1,3.88µm
_021_,3.705µm
_053_,3.705µm
sync_gwptr_to_rd.q1\[4\],3.66µm
bram.mem\[9\]\[4\],3.64µm
_071_,3.605µm
_062_,3.585µm
_176_,3.54µm
_009_,3.505µm
_024_,3.505µm
_020_,3.465µm
_033_,3.465µm
_060_,3.465µm
_109_,3.465µm
_116_,3.465µm
_119_,3.465µm
_131_,3.465µm
u_wrptr_handler.b_wptr_next\[2\],3.44µm
_161_,3.42µm
_078_,3.32µm
u_wrptr_handler.b_wptr_next\[0\],3.3µm
_029_,3.245µm
_047_,3.245µm
_080_,3.175µm
_122_,3.175µm
_014_,3.125µm
_181_,3.1µm
_183_,3.08µm
_207_,2.96µm
r_ptr_gray_sync\[2\],2.96µm
_075_,2.955µm
_005_,2.945µm
_105_,2.86µm
_107_,2.86µm
_052_,2.835µm
_141_,2.8µm
_019_,2.785µm
_085_,2.785µm
_123_,2.785µm
_125_,2.785µm
_211_,2.76µm
_146_,2.64µm
_168_,2.64µm
u_wrptr_handler.g_wptr_next\[2\],2.62µm
_043_,2.545µm
_057_,2.545µm
_229_,2.5µm
_230_,2.5µm
net15,2.5µm
_037_,2.485µm
_067_,2.485µm
_111_,2.325µm
_128_,2.325µm
_199_,2.3µm
sync_grptr_to_wr.q1\[0\],2.18µm
sync_grptr_to_wr.q1\[4\],2.18µm
_153_,2.16µm
_160_,2.16µm
_079_,2.125µm
_179_,2.04µm
_209_,2.04µm
_025_,2.025µm
_011_,1.865µm
_036_,1.865µm
_054_,1.865µm
_202_,1.84µm
r_ptr_gray_sync\[1\],1.7µm
_223_,1.38µm
u_rptr_handler.b_rptr_next\[1\],1.36µm
