Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_37_3,VGND,li1,7.8200,114.2400,0.000217
FILLER_36_253,VGND,li1,122.8200,108.8000,0.001328
FILLER_36_246,VGND,li1,120.0600,108.8000,0.001328
FILLER_36_200,VGND,li1,98.9000,108.8000,0.001298
FILLER_36_195,VGND,li1,95.4500,108.8000,0.001290
FILLER_36_182,VGND,li1,89.4700,108.8000,0.001250
FILLER_36_176,VGND,li1,87.8600,108.8000,0.001250
FILLER_36_165,VGND,li1,82.3400,108.8000,0.001204
FILLER_36_153,VGND,li1,76.1300,108.8000,0.001147
FILLER_36_147,VGND,li1,74.5200,108.8000,0.001147
FILLER_36_136,VGND,li1,69.0000,108.8000,0.001083
FILLER_36_113,VGND,li1,57.7300,108.8000,0.000905
FILLER_36_107,VGND,li1,56.1200,108.8000,0.000905
FILLER_36_94,VGND,li1,49.6800,108.8000,0.000805
FILLER_36_48,VGND,li1,28.0600,108.8000,0.000368
FILLER_36_29,VGND,li1,19.5500,108.8000,0.000296
FILLER_36_25,VGND,li1,17.7100,108.8000,0.000298
FILLER_36_3,VGND,li1,8.2800,108.8000,0.000304
FILLER_35_225,VGND,li1,111.7800,108.8000,0.001321
FILLER_35_218,VGND,li1,107.1800,108.8000,0.001315
FILLER_35_206,VGND,li1,103.0400,108.8000,0.001307
FILLER_35_183,VGND,li1,90.3900,108.8000,0.001264
FILLER_35_167,VGND,li1,82.5700,108.8000,0.001217
FILLER_35_143,VGND,li1,71.5300,108.8000,0.001109
FILLER_35_108,VGND,li1,56.1200,108.8000,0.000905
FILLER_35_57,VGND,li1,32.4300,108.8000,0.000474
FILLER_35_25,VGND,li1,17.9400,108.8000,0.000298
FILLER_35_15,VGND,li1,12.6500,108.8000,0.000304
FILLER_35_3,VGND,li1,9.6600,108.8000,0.000304
FILLER_34_253,VGND,li1,122.8200,103.3600,0.001518
FILLER_34_239,VGND,li1,115.9200,103.3600,0.001516
FILLER_34_197,VGND,li1,96.6000,103.3600,0.001454
FILLER_34_194,VGND,li1,95.2200,103.3600,0.001444
FILLER_34_109,VGND,li1,57.0400,103.3600,0.000918
FILLER_34_91,VGND,li1,47.8400,103.3600,0.000759
FILLER_34_83,VGND,li1,43.9300,103.3600,0.000680
FILLER_34_61,VGND,li1,34.0400,103.3600,0.000469
FILLER_34_33,VGND,li1,20.9300,103.3600,0.000247
FILLER_34_29,VGND,li1,19.7800,103.3600,0.000251
FILLER_34_27,VGND,li1,18.1700,103.3600,0.000251
FILLER_34_21,VGND,li1,16.5600,103.3600,0.000253
FILLER_34_9,VGND,li1,12.4200,103.3600,0.000257
FILLER_33_251,VGND,li1,121.6700,103.3600,0.001518
FILLER_33_229,VGND,li1,111.0900,103.3600,0.001512
FILLER_33_225,VGND,li1,109.9400,103.3600,0.001509
FILLER_33_200,VGND,li1,98.4400,103.3600,0.001470
FILLER_33_169,VGND,li1,83.9500,103.3600,0.001318
FILLER_33_166,VGND,li1,82.3400,103.3600,0.001318
FILLER_33_138,VGND,li1,69.6900,103.3600,0.001151
FILLER_33_125,VGND,li1,63.4800,103.3600,0.001054
FILLER_33_113,VGND,li1,60.2600,103.3600,0.000995
FILLER_33_108,VGND,li1,56.1200,103.3600,0.000918
FILLER_33_98,VGND,li1,50.8300,103.3600,0.000818
FILLER_33_90,VGND,li1,48.7600,103.3600,0.000759
FILLER_33_78,VGND,li1,44.1600,103.3600,0.000680
FILLER_33_66,VGND,li1,38.6400,103.3600,0.000572
FILLER_33_44,VGND,li1,28.5200,103.3600,0.000354
FILLER_33_33,VGND,li1,21.1600,103.3600,0.000247
FILLER_33_22,VGND,li1,16.1000,103.3600,0.000253
FILLER_33_3,VGND,li1,7.5900,103.3600,0.000257
FILLER_32_195,VGND,li1,95.4500,97.9200,0.000542
FILLER_32_191,VGND,li1,94.3000,97.9200,0.000535
FILLER_32_179,VGND,li1,88.3200,97.9200,0.000519
