Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_33_166,VPWR,li1,82.3400,100.6400,1.798837
FILLER_33_138,VPWR,li1,69.6900,100.6400,1.799007
FILLER_33_125,VPWR,li1,63.4800,100.6400,1.799071
FILLER_33_113,VPWR,li1,60.2600,100.6400,1.799121
FILLER_33_108,VPWR,li1,56.1200,100.6400,1.799203
FILLER_33_98,VPWR,li1,50.8300,100.6400,1.799277
FILLER_33_90,VPWR,li1,48.7600,100.6400,1.799337
FILLER_33_78,VPWR,li1,44.1600,100.6400,1.799396
FILLER_33_66,VPWR,li1,38.6400,100.6400,1.799511
FILLER_33_44,VPWR,li1,28.5200,100.6400,1.799664
FILLER_33_33,VPWR,li1,21.1600,100.6400,1.799795
FILLER_33_22,VPWR,li1,16.1000,100.6400,1.799780
FILLER_33_3,VPWR,li1,7.5900,100.6400,1.799775
FILLER_32_195,VPWR,li1,95.4500,100.6400,1.798716
FILLER_32_191,VPWR,li1,94.3000,100.6400,1.798716
FILLER_32_179,VPWR,li1,88.3200,100.6400,1.798770
FILLER_32_171,VPWR,li1,86.0200,100.6400,1.798798
FILLER_32_159,VPWR,li1,81.4200,100.6400,1.798865
FILLER_32_149,VPWR,li1,74.2900,100.6400,1.798931
FILLER_32_141,VPWR,li1,72.2200,100.6400,1.798954
FILLER_32_139,VPWR,li1,69.6900,100.6400,1.799007
FILLER_32_133,VPWR,li1,68.0800,100.6400,1.799007
FILLER_32_126,VPWR,li1,63.7100,100.6400,1.799071
FILLER_32_118,VPWR,li1,61.6400,100.6400,1.799121
FILLER_32_97,VPWR,li1,51.9800,100.6400,1.799277
FILLER_32_85,VPWR,li1,47.3800,100.6400,1.799337
FILLER_32_83,VPWR,li1,43.9300,100.6400,1.799396
FILLER_32_75,VPWR,li1,41.8600,100.6400,1.799432
FILLER_32_63,VPWR,li1,37.2600,100.6400,1.799511
FILLER_32_50,VPWR,li1,29.4400,100.6400,1.799664
FILLER_31_243,VPWR,li1,117.9900,95.2000,1.799320
FILLER_31_231,VPWR,li1,112.0100,95.2000,1.799326
FILLER_31_225,VPWR,li1,110.4000,95.2000,1.799326
FILLER_31_223,VPWR,li1,108.3300,95.2000,1.799329
FILLER_31_215,VPWR,li1,106.2600,95.2000,1.799332
FILLER_31_193,VPWR,li1,94.7600,95.2000,1.799359
FILLER_31_181,VPWR,li1,91.5400,95.2000,1.799366
FILLER_31_169,VPWR,li1,86.0200,95.2000,1.799386
FILLER_31_160,VPWR,li1,80.9600,95.2000,1.799398
FILLER_31_148,VPWR,li1,76.3600,95.2000,1.799416
FILLER_31_137,VPWR,li1,69.0000,95.2000,1.799448
FILLER_31_129,VPWR,li1,66.7000,95.2000,1.799459
FILLER_31_111,VPWR,li1,56.8100,95.2000,1.799526
FILLER_31_107,VPWR,li1,55.6600,95.2000,1.799526
FILLER_31_97,VPWR,li1,50.3700,95.2000,1.799565
FILLER_31_89,VPWR,li1,48.3000,95.2000,1.799581
FILLER_31_63,VPWR,li1,34.7300,95.2000,1.799725
FILLER_31_57,VPWR,li1,33.1200,95.2000,1.799725
FILLER_31_53,VPWR,li1,30.5900,95.2000,1.799752
FILLER_31_45,VPWR,li1,28.0600,95.2000,1.799782
FILLER_31_28,VPWR,li1,18.6300,95.2000,1.799852
FILLER_31_22,VPWR,li1,17.0200,95.2000,1.799852
FILLER_31_3,VPWR,li1,7.5900,95.2000,1.799846
FILLER_30_253,VPWR,li1,122.1300,95.2000,1.799320
FILLER_30_228,VPWR,li1,111.3200,95.2000,1.799326
FILLER_30_217,VPWR,li1,106.2600,95.2000,1.799332
FILLER_30_195,VPWR,li1,95.4500,95.2000,1.799359
FILLER_30_189,VPWR,li1,93.8400,95.2000,1.799359
FILLER_30_177,VPWR,li1,89.7000,95.2000,1.799371
FILLER_30_141,VPWR,li1,70.8400,95.2000,1.799440
FILLER_30_138,VPWR,li1,69.4600,95.2000,1.799448
FILLER_30_85,VPWR,li1,45.0800,95.2000,1.799614
FILLER_30_41,VPWR,li1,25.7600,95.2000,1.799809
FILLER_30_29,VPWR,li1,21.6200,95.2000,1.799858
FILLER_30_24,VPWR,li1,17.4800,95.2000,1.799852
FILLER_30_3,VPWR,li1,9.6600,95.2000,1.799846
FILLER_29_256,VPWR,li1,123.5100,89.7600,1.799015
FILLER_29_250,VPWR,li1,121.9000,89.7600,1.799015
FILLER_29_229,VPWR,li1,111.0900,89.7600,1.799022
FILLER_29_225,VPWR,li1,109.9400,89.7600,1.799022
FILLER_29_221,VPWR,li1,107.8700,89.7600,1.799025
FILLER_29_209,VPWR,li1,104.4200,89.7600,1.799030
FILLER_29_197,VPWR,li1,98.9000,89.7600,1.799043
FILLER_29_185,VPWR,li1,93.3800,89.7600,1.799056
FILLER_29_129,VPWR,li1,65.3200,89.7600,1.799254
FILLER_29_111,VPWR,li1,56.8100,89.7600,1.799344
FILLER_29_105,VPWR,li1,55.2000,89.7600,1.799367
FILLER_29_88,VPWR,li1,46.2300,89.7600,1.799482
FILLER_29_84,VPWR,li1,45.0800,89.7600,1.799482
FILLER_29_66,VPWR,li1,36.3400,89.7600,1.799596
FILLER_29_55,VPWR,li1,31.0500,89.7600,1.799690
FILLER_29_51,VPWR,li1,29.9000,89.7600,1.799690
FILLER_29_39,VPWR,li1,26.2200,89.7600,1.799746
FILLER_29_27,VPWR,li1,20.7000,89.7600,1.799833
FILLER_29_15,VPWR,li1,15.1800,89.7600,1.799832
FILLER_29_3,VPWR,li1,9.6600,89.7600,1.799832
FILLER_28_253,VPWR,li1,122.8200,89.7600,1.799015
FILLER_28_244,VPWR,li1,119.6000,89.7600,1.799015
FILLER_28_203,VPWR,li1,99.1300,89.7600,1.799043
FILLER_28_197,VPWR,li1,97.5200,89.7600,1.799050
FILLER_28_192,VPWR,li1,94.7600,89.7600,1.799056
FILLER_28_175,VPWR,li1,87.4000,89.7600,1.799081
FILLER_28_157,VPWR,li1,78.2000,89.7600,1.799141
FILLER_28_139,VPWR,li1,69.6900,89.7600,1.799213
FILLER_28_131,VPWR,li1,67.6200,89.7600,1.799232
FILLER_28_119,VPWR,li1,63.0200,89.7600,1.799277
FILLER_28_104,VPWR,li1,54.7400,89.7600,1.799367
FILLER_28_93,VPWR,li1,48.7600,89.7600,1.799435
FILLER_28_85,VPWR,li1,46.4600,89.7600,1.799482
FILLER_28_83,VPWR,li1,43.9300,89.7600,1.799510
FILLER_28_79,VPWR,li1,42.7800,89.7600,1.799510
FILLER_28_45,VPWR,li1,27.1400,89.7600,1.799746
FILLER_28_27,VPWR,li1,18.1700,89.7600,1.799832
FILLER_28_15,VPWR,li1,13.1100,89.7600,1.799832
FILLER_28_3,VPWR,li1,9.6600,89.7600,1.799832
FILLER_27_256,VPWR,li1,123.5100,84.3200,1.798780
FILLER_27_248,VPWR,li1,121.4400,84.3200,1.798780
FILLER_27_225,VPWR,li1,109.7100,84.3200,1.798794
FILLER_27_223,VPWR,li1,108.3300,84.3200,1.798798
FILLER_27_217,VPWR,li1,106.7200,84.3200,1.798798
FILLER_27_205,VPWR,li1,102.5800,84.3200,1.798808
FILLER_27_175,VPWR,li1,87.4000,84.3200,1.798868
FILLER_27_167,VPWR,li1,82.5700,84.3200,1.798911
FILLER_27_150,VPWR,li1,74.7500,84.3200,1.798971
FILLER_27_137,VPWR,li1,69.4600,84.3200,1.799045
FILLER_27_125,VPWR,li1,65.7800,84.3200,1.799087
FILLER_27_113,VPWR,li1,60.2600,84.3200,1.799160
FILLER_27_104,VPWR,li1,55.2000,84.3200,1.799235
FILLER_27_92,VPWR,li1,50.6000,84.3200,1.799292
FILLER_27_66,VPWR,li1,36.8000,84.3200,1.799495
FILLER_27_48,VPWR,li1,29.4400,84.3200,1.799615
FILLER_27_26,VPWR,li1,17.7100,84.3200,1.799757
FILLER_27_9,VPWR,li1,9.8900,84.3200,1.799748
FILLER_27_3,VPWR,li1,8.2800,84.3200,1.799748
FILLER_26_253,VPWR,li1,122.8200,84.3200,1.798780
FILLER_26_231,VPWR,li1,112.0100,84.3200,1.798788
FILLER_26_219,VPWR,li1,109.0200,84.3200,1.798794
FILLER_26_197,VPWR,li1,96.6000,84.3200,1.798824
FILLER_26_184,VPWR,li1,92.9200,84.3200,1.798832
FILLER_26_172,VPWR,li1,87.4000,84.3200,1.798868
FILLER_26_164,VPWR,li1,81.1900,84.3200,1.798911
FILLER_26_134,VPWR,li1,68.5400,84.3200,1.799045
FILLER_26_124,VPWR,li1,62.7900,84.3200,1.799131
FILLER_26_120,VPWR,li1,61.6400,84.3200,1.799131
FILLER_26_113,VPWR,li1,57.7300,84.3200,1.799196
FILLER_26_109,VPWR,li1,56.5800,84.3200,1.799196
FILLER_26_99,VPWR,li1,51.2900,84.3200,1.799265
FILLER_26_91,VPWR,li1,49.2200,84.3200,1.799292
FILLER_26_83,VPWR,li1,43.9300,84.3200,1.799380
FILLER_26_79,VPWR,li1,42.7800,84.3200,1.799380
FILLER_26_64,VPWR,li1,35.8800,84.3200,1.799495
FILLER_26_29,VPWR,li1,19.5500,84.3200,1.799760
FILLER_26_25,VPWR,li1,17.7100,84.3200,1.799757
FILLER_26_3,VPWR,li1,8.2800,84.3200,1.799748
FILLER_25_256,VPWR,li1,123.5100,78.8800,1.798972
FILLER_25_237,VPWR,li1,115.2300,78.8800,1.798975
FILLER_25_225,VPWR,li1,111.7800,78.8800,1.798982
FILLER_25_216,VPWR,li1,106.7200,78.8800,1.798992
FILLER_25_204,VPWR,li1,102.1200,78.8800,1.799001
FILLER_25_182,VPWR,li1,89.4700,78.8800,1.799039
FILLER_25_169,VPWR,li1,84.6400,78.8800,1.799063
FILLER_25_165,VPWR,li1,82.1100,78.8800,1.799082
FILLER_25_123,VPWR,li1,62.5600,78.8800,1.799221
FILLER_25_113,VPWR,li1,58.1900,78.8800,1.799275
FILLER_25_109,VPWR,li1,56.3500,78.8800,1.799300
FILLER_25_87,VPWR,li1,45.7700,78.8800,1.799431
FILLER_25_83,VPWR,li1,44.6200,78.8800,1.799431
FILLER_25_61,VPWR,li1,33.8100,78.8800,1.799578
FILLER_25_57,VPWR,li1,32.6600,78.8800,1.799613
FILLER_25_50,VPWR,li1,29.9000,78.8800,1.799647
FILLER_25_26,VPWR,li1,18.4000,78.8800,1.799801
FILLER_25_15,VPWR,li1,12.8800,78.8800,1.799798
FILLER_25_3,VPWR,li1,9.6600,78.8800,1.799798
FILLER_24_253,VPWR,li1,122.1300,78.8800,1.798972
FILLER_24_250,VPWR,li1,120.9800,78.8800,1.798972
FILLER_24_202,VPWR,li1,100.2800,78.8800,1.799005
FILLER_24_168,VPWR,li1,83.0300,78.8800,1.799082
FILLER_24_162,VPWR,li1,81.4200,78.8800,1.799082
FILLER_24_139,VPWR,li1,69.6900,78.8800,1.799171
FILLER_24_135,VPWR,li1,68.5400,78.8800,1.799171
FILLER_24_118,VPWR,li1,60.0300,78.8800,1.799246
FILLER_24_85,VPWR,li1,45.3100,78.8800,1.799431
FILLER_24_76,VPWR,li1,42.3200,78.8800,1.799458
FILLER_24_56,VPWR,li1,32.2000,78.8800,1.799613
FILLER_24_45,VPWR,li1,26.6800,78.8800,1.799697
FILLER_24_35,VPWR,li1,21.8500,78.8800,1.799803
FILLER_24_29,VPWR,li1,20.2400,78.8800,1.799803
FILLER_24_24,VPWR,li1,17.4800,78.8800,1.799801
FILLER_24_3,VPWR,li1,7.5900,78.8800,1.799798
FILLER_23_251,VPWR,li1,121.6700,73.4400,1.798541
FILLER_23_225,VPWR,li1,111.7800,73.4400,1.798551
FILLER_23_202,VPWR,li1,98.9000,73.4400,1.798579
FILLER_23_139,VPWR,li1,69.6900,73.4400,1.798767
FILLER_23_122,VPWR,li1,61.8700,73.4400,1.798868
FILLER_23_63,VPWR,li1,34.7300,73.4400,1.799414
FILLER_23_57,VPWR,li1,33.1200,73.4400,1.799487
FILLER_23_46,VPWR,li1,26.9100,73.4400,1.799597
FILLER_23_23,VPWR,li1,16.5600,73.4400,1.799708
FILLER_23_3,VPWR,li1,7.8200,73.4400,1.799699
FILLER_22_253,VPWR,li1,122.8200,73.4400,1.798541
FILLER_22_250,VPWR,li1,120.9800,73.4400,1.798541
FILLER_22_242,VPWR,li1,118.6800,73.4400,1.798541
FILLER_22_226,VPWR,li1,112.2400,73.4400,1.798551
FILLER_22_214,VPWR,li1,106.7200,73.4400,1.798560
FILLER_22_197,VPWR,li1,96.8300,73.4400,1.798590
FILLER_22_174,VPWR,li1,86.0200,73.4400,1.798642
FILLER_22_154,VPWR,li1,76.5900,73.4400,1.798719
FILLER_22_150,VPWR,li1,75.4400,73.4400,1.798719
FILLER_22_114,VPWR,li1,59.3400,73.4400,1.798914
FILLER_22_102,VPWR,li1,55.2000,73.4400,1.798990
FILLER_22_85,VPWR,li1,44.8500,73.4400,1.799202
FILLER_22_76,VPWR,li1,42.3200,73.4400,1.799246
FILLER_22_66,VPWR,li1,36.1100,73.4400,1.799414
FILLER_22_47,VPWR,li1,27.8300,73.4400,1.799597
FILLER_22_29,VPWR,li1,19.3200,73.4400,1.799712
FILLER_22_24,VPWR,li1,17.4800,73.4400,1.799708
FILLER_22_7,VPWR,li1,8.9700,73.4400,1.799699
FILLER_22_3,VPWR,li1,7.8200,73.4400,1.799699
FILLER_21_256,VPWR,li1,123.5100,68.0000,1.799018
FILLER_21_252,VPWR,li1,122.3600,68.0000,1.799018
FILLER_21_222,VPWR,li1,108.1000,68.0000,1.799045
FILLER_21_210,VPWR,li1,104.8800,68.0000,1.799057
FILLER_21_181,VPWR,li1,89.0100,68.0000,1.799116
FILLER_21_169,VPWR,li1,83.4900,68.0000,1.799157
FILLER_21_145,VPWR,li1,73.1400,68.0000,1.799252
FILLER_21_133,VPWR,li1,67.3900,68.0000,1.799318
FILLER_21_125,VPWR,li1,64.8600,68.0000,1.799337
FILLER_21_113,VPWR,li1,60.2600,68.0000,1.799390
FILLER_21_109,VPWR,li1,56.3500,68.0000,1.799432
FILLER_21_101,VPWR,li1,53.8200,68.0000,1.799471
FILLER_21_89,VPWR,li1,47.1500,68.0000,1.799538
FILLER_21_81,VPWR,li1,44.6200,68.0000,1.799583
FILLER_21_69,VPWR,li1,40.0200,68.0000,1.799621
FILLER_21_57,VPWR,li1,34.5000,68.0000,1.799686
FILLER_21_55,VPWR,li1,31.0500,68.0000,1.799748
FILLER_21_49,VPWR,li1,29.4400,68.0000,1.799748
FILLER_21_37,VPWR,li1,25.3000,68.0000,1.799808
FILLER_21_15,VPWR,li1,13.8000,68.0000,1.799855
FILLER_21_3,VPWR,li1,9.6600,68.0000,1.799855
FILLER_20_253,VPWR,li1,122.8200,68.0000,1.799018
FILLER_20_248,VPWR,li1,120.5200,68.0000,1.799018
FILLER_20_227,VPWR,li1,110.1700,68.0000,1.799038
FILLER_20_221,VPWR,li1,108.5600,68.0000,1.799045
FILLER_20_209,VPWR,li1,104.4200,68.0000,1.799057
FILLER_20_197,VPWR,li1,98.9000,68.0000,1.799075
FILLER_20_193,VPWR,li1,94.9900,68.0000,1.799094
FILLER_20_184,VPWR,li1,91.5400,68.0000,1.799106
FILLER_20_180,VPWR,li1,88.5500,68.0000,1.799126
FILLER_20_157,VPWR,li1,77.9700,68.0000,1.799214
FILLER_20_153,VPWR,li1,76.8200,68.0000,1.799214
FILLER_20_141,VPWR,li1,73.1400,68.0000,1.799252
FILLER_20_137,VPWR,li1,69.2300,68.0000,1.799292
FILLER_20_129,VPWR,li1,66.7000,68.0000,1.799318
